date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:44	4761/4761	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:04:49%20GMT	https://mihirthakkar.ml/robots.txt		(from )
12:34:45	21257/21257	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Apr%202021%2007:04:49%20GMT	https://mihirthakkar.ml/	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/index.html	(from )
12:34:46	174293/174293	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2005:55:31%20GMT	https://mihirthakkar.ml/css/plugins.css	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/plugins.css	(from https://mihirthakkar.ml/)
12:34:47	65643/65643	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2005:55:31%20GMT	https://mihirthakkar.ml/css/stylem.css	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/stylem.css	(from https://mihirthakkar.ml/)
12:34:48	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	E:/mihir%20copy/mihirs%20copy/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://mihirthakkar.ml/)
12:34:49	30716/30716	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Oct%202020%2005:56:22%20GMT	https://mihirthakkar.ml/img/mlogo3.jpeg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/mlogo3.jpg	(from https://mihirthakkar.ml/)
12:34:50	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:04:54%20GMT	https://mihirthakkar.ml/img/logo/light.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/logo/light.png	(from https://mihirthakkar.ml/)
12:34:50	4235/4235	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Apr%202021%2007:04:55%20GMT	https://mihirthakkar.ml/cdn-cgi/l/email-protection	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/cdn-cgi/l/email-protection.html	(from https://mihirthakkar.ml/)
12:34:52	79272/79272	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Oct%202020%2005:56:20%20GMT	https://mihirthakkar.ml/img/mihircover13.jpeg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/mihircover13.jpg	(from https://mihirthakkar.ml/)
12:34:53	3280/3280	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Oct%202020%2005:56:12%20GMT	https://mihirthakkar.ml/img/550x650.jpg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/550x650.jpg	(from https://mihirthakkar.ml/)
12:34:54	18320/18320	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:04:58%20GMT	https://mihirthakkar.ml/img/2.jpg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/2.jpg	(from https://mihirthakkar.ml/)
12:34:55	8868/8868	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Oct%202020%2005:56:14%20GMT	https://mihirthakkar.ml/img/facebook.webp	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/facebook.webp	(from https://mihirthakkar.ml/)
12:34:56	60346/60346	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Oct%202020%2005:56:15%20GMT	https://mihirthakkar.ml/img/gmail.webp	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/gmail.webp	(from https://mihirthakkar.ml/)
12:34:58	87242/87242	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Oct%202020%2005:56:25%20GMT	https://mihirthakkar.ml/img/whatsapp.webp	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/whatsapp.webp	(from https://mihirthakkar.ml/)
12:34:59	26269/26269	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Oct%202020%2005:56:24%20GMT	https://mihirthakkar.ml/img/navigation.jpg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/navigation.jpg	(from https://mihirthakkar.ml/)
12:34:59	1252/1252	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Oct%202020%2005:56:16%20GMT	https://mihirthakkar.ml/img/linkedin.svg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/linkedin.svg	(from https://mihirthakkar.ml/)
12:35:01	45458/45458	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Oct%202020%2005:56:15%20GMT	https://mihirthakkar.ml/img/instagram.webp	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/instagram.webp	(from https://mihirthakkar.ml/)
12:35:02	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:06%20GMT	https://mihirthakkar.ml/www.mihirthakkar.ml	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/www.mihirthakkar.ml	(from https://mihirthakkar.ml/)
12:35:02	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226076a8eb-4d7%22	https://mihirthakkar.ml/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://mihirthakkar.ml/)
12:35:03	88144/88144	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2026%20Oct%202020%2005:54:36%20GMT	https://mihirthakkar.ml/js/jquery.js	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/js/jquery.js	(from https://mihirthakkar.ml/)
12:35:04	19481/19481	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2026%20Oct%202020%2005:54:35%20GMT	https://mihirthakkar.ml/js/init.js	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/js/init.js	(from https://mihirthakkar.ml/)
12:35:05	2046/2046	---M--	200	added ('OK')	image/png	etag:%2260804d02-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	E:/mihir%20copy/mihirs%20copy/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from https://mihirthakkar.ml/)
12:35:06	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:11%20GMT	https://mihirthakkar.ml/css/font/xcon.eot?4965248	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/font/xcon8158.eot	(from https://mihirthakkar.ml/css/plugins.css)
12:35:07	18320/18320	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:12%20GMT	https://mihirthakkar.ml/css/font/xcon.woff2?4965248	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/font/xcon8158.woff2	(from https://mihirthakkar.ml/css/plugins.css)
12:35:08	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:13%20GMT	https://mihirthakkar.ml/css/font/xcon.woff?4965248	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/font/xcon8158.woff	(from https://mihirthakkar.ml/css/plugins.css)
